ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A051,"AmpShield Electric Fuse, Fast Blow, 30A, 125VAC, 48VDC, 10000A (IR), Cartridge",Fast Blow,30A,125V,48V,10000A,Cartridge,Power Supply
A052,"Indicators PN Electric Fuse, Time Lag Blow, 0.5A, 32VAC, 250VDC, 200A (IR), Cartridge",Time Lag Blow,0.5A,32V,250V,200A,Cartridge,Automotive
A053,"AmpShield Electric Fuse, Time Lag Blow, 1.5A, 400VAC, 60VDC, 50A (IR), Blade",Time Lag Blow,1.5A,400V,60V,50A,Blade,Power Supply
A054,"Indicators PN Electric Fuse, HRC, 0.5A, 32VAC, 24VDC, 10000A (IR), Through Hole",HRC,0.5A,32V,24V,10000A,Through Hole,Power Supply
A055,"CircuitSafe Electric Fuse, Time Lag Blow, 20A, 300VAC, 48VDC, 200A (IR), Through Hole",Time Lag Blow,20A,300V,48V,200A,Through Hole,Automotive
A056,"CircuitSafe Electric Fuse, Time Lag Blow, 0.5A, 125VAC, 48VDC, 10000A (IR), Through Hole",Time Lag Blow,0.5A,125V,48V,10000A,Through Hole,Automotive
A057,"Voltguard Electric Fuse, HRC, 7A, 300VAC, 250VDC, 50A (IR), Through Hole",HRC,7A,300V,250V,50A,Through Hole,Industrial
A058,"CircuitSafe Electric Fuse, PTC, 0.5A, 63VAC, 250VDC, 100A (IR), Blade",PTC,0.5A,63V,250V,100A,Blade,Industrial
A059,"Voltguard Electric Fuse, Fast Blow, 30A, 32VAC, 125VDC, 35A (IR), Blade",Fast Blow,30A,32V,125V,35A,Blade,Industrial
A060,"AmpShield Electric Fuse, PTC, 5A, 125VAC, 48VDC, 50A (IR), Surface Mount",PTC,5A,125V,48V,50A,Surface Mount,Industrial
A061,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 32VAC, 60VDC, 100A (IR), Panel Mount",Time Lag Blow,3A,32V,60V,100A,Panel Mount,Telecom
A062,"Indicators PN Electric Fuse, Time Lag Blow, 0.5A, 32VAC, 60VDC, 50A (IR), Panel Mount",Time Lag Blow,0.5A,32V,60V,50A,Panel Mount,Consumer Electronics
A063,"ProtecTech Electric Fuse, Slow Blow, 20A, 250VAC, 60VDC, 10000A (IR), Cartridge",Slow Blow,20A,250V,60V,10000A,Cartridge,Telecom
A064,"AmpShield Electric Fuse, HRC, 1A, 250VAC, 150VDC, 50A (IR), Cartridge",HRC,1A,250V,150V,50A,Cartridge,Automotive
A065,"AmpShield Electric Fuse, Slow Blow, 15A, 300VAC, 250VDC, 10000A (IR), Through Hole",Slow Blow,15A,300V,250V,10000A,Through Hole,Consumer Electronics
A066,"ProtecTech Electric Fuse, Slow Blow, 25A, 125VAC, 150VDC, 100A (IR), Surface Mount",Slow Blow,25A,125V,150V,100A,Surface Mount,Consumer Electronics
A067,"Voltguard Electric Fuse, Time Lag Blow, 25A, 250VAC, 60VDC, 200A (IR), Cartridge",Time Lag Blow,25A,250V,60V,200A,Cartridge,Power Supply
A068,"ProtecTech Electric Fuse, Fast Blow, 7A, 400VAC, 125VDC, 10000A (IR), Through Hole",Fast Blow,7A,400V,125V,10000A,Through Hole,Power Supply
A069,"AmpShield Electric Fuse, Time Lag Blow, 7A, 300VAC, 24VDC, 100A (IR), Cartridge",Time Lag Blow,7A,300V,24V,100A,Cartridge,Industrial
A070,"Voltguard Electric Fuse, HRC, 20A, 400VAC, 60VDC, 200A (IR), Blade",HRC,20A,400V,60V,200A,Blade,Telecom
A071,"ProtecTech Electric Fuse, HRC, 10A, 400VAC, 48VDC, 10000A (IR), Surface Mount",HRC,10A,400V,48V,10000A,Surface Mount,Consumer Electronics
A072,"Voltguard Electric Fuse, Resettable, 25A, 300VAC, 60VDC, 35A (IR), Through Hole",Resettable,25A,300V,60V,35A,Through Hole,Consumer Electronics
A073,"Indicators PN Electric Fuse, Fast Blow, 1.5A, 32VAC, 24VDC, 50A (IR), Blade",Fast Blow,1.5A,32V,24V,50A,Blade,Power Supply
A074,"AmpShield Electric Fuse, PTC, 7A, 400VAC, 150VDC, 50A (IR), Blade",PTC,7A,400V,150V,50A,Blade,Telecom
A075,"Voltguard Electric Fuse, Fast Blow, 1.5A, 400VAC, 250VDC, 35A (IR), Surface Mount",Fast Blow,1.5A,400V,250V,35A,Surface Mount,Telecom
A076,"Indicators PN Electric Fuse, Fast Blow, 30A, 300VAC, 125VDC, 35A (IR), Panel Mount",Fast Blow,30A,300V,125V,35A,Panel Mount,Industrial
A077,"CircuitSafe Electric Fuse, PTC, 1.5A, 250VAC, 250VDC, 1500A (IR), Panel Mount",PTC,1.5A,250V,250V,1500A,Panel Mount,Power Supply
A078,"Voltguard Electric Fuse, PTC, 20A, 400VAC, 150VDC, 200A (IR), Panel Mount",PTC,20A,400V,150V,200A,Panel Mount,Telecom
A079,"AmpShield Electric Fuse, Resettable, 10A, 250VAC, 60VDC, 50A (IR), Cartridge",Resettable,10A,250V,60V,50A,Cartridge,Power Supply
A080,"CircuitSafe Electric Fuse, Resettable, 2A, 125VAC, 125VDC, 35A (IR), Cartridge",Resettable,2A,125V,125V,35A,Cartridge,Industrial
A081,"AmpShield Electric Fuse, Time Lag Blow, 5A, 300VAC, 24VDC, 50A (IR), Through Hole",Time Lag Blow,5A,300V,24V,50A,Through Hole,Industrial
A082,"CircuitSafe Electric Fuse, Resettable, 1.5A, 400VAC, 48VDC, 35A (IR), Blade",Resettable,1.5A,400V,48V,35A,Blade,Telecom
A083,"ProtecTech Electric Fuse, HRC, 10A, 250VAC, 24VDC, 50A (IR), Blade",HRC,10A,250V,24V,50A,Blade,Telecom
A084,"CircuitSafe Electric Fuse, Resettable, 0.5A, 300VAC, 125VDC, 200A (IR), Surface Mount",Resettable,0.5A,300V,125V,200A,Surface Mount,Consumer Electronics
A085,"Voltguard Electric Fuse, PTC, 7A, 300VAC, 250VDC, 10000A (IR), Panel Mount",PTC,7A,300V,250V,10000A,Panel Mount,Power Supply
A086,"CircuitSafe Electric Fuse, PTC, 2A, 125VAC, 125VDC, 200A (IR), Surface Mount",PTC,2A,125V,125V,200A,Surface Mount,Telecom
A087,"ProtecTech Electric Fuse, Resettable, 25A, 250VAC, 250VDC, 50A (IR), Blade",Resettable,25A,250V,250V,50A,Blade,Industrial
A088,"AmpShield Electric Fuse, HRC, 0.5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",HRC,0.5A,250V,150V,1500A,Surface Mount,Automotive
A089,"Voltguard Electric Fuse, Fast Blow, 10A, 63VAC, 24VDC, 100A (IR), Blade",Fast Blow,10A,63V,24V,100A,Blade,Consumer Electronics
A090,"Indicators PN Electric Fuse, PTC, 5A, 125VAC, 125VDC, 100A (IR), Blade",PTC,5A,125V,125V,100A,Blade,Consumer Electronics
A091,"Indicators PN Electric Fuse, PTC, 0.5A, 400VAC, 150VDC, 35A (IR), Cartridge",PTC,0.5A,400V,150V,35A,Cartridge,Industrial
A092,"Voltguard Electric Fuse, Resettable, 0.5A, 32VAC, 48VDC, 50A (IR), Surface Mount",Resettable,0.5A,32V,48V,50A,Surface Mount,Power Supply
A093,"AmpShield Electric Fuse, Fast Blow, 1.5A, 250VAC, 250VDC, 35A (IR), Panel Mount",Fast Blow,1.5A,250V,250V,35A,Panel Mount,Industrial
A094,"Voltguard Electric Fuse, Resettable, 3A, 125VAC, 48VDC, 1500A (IR), Panel Mount",Resettable,3A,125V,48V,1500A,Panel Mount,Automotive
A095,"AmpShield Electric Fuse, Time Lag Blow, 1A, 300VAC, 24VDC, 100A (IR), Panel Mount",Time Lag Blow,1A,300V,24V,100A,Panel Mount,Telecom
A096,"CircuitSafe Electric Fuse, Resettable, 2A, 32VAC, 150VDC, 10000A (IR), Through Hole",Resettable,2A,32V,150V,10000A,Through Hole,Automotive
A097,"AmpShield Electric Fuse, Resettable, 20A, 32VAC, 150VDC, 35A (IR), Cartridge",Resettable,20A,32V,150V,35A,Cartridge,Power Supply
A098,"AmpShield Electric Fuse, Resettable, 5A, 32VAC, 150VDC, 10000A (IR), Cartridge",Resettable,5A,32V,150V,10000A,Cartridge,Automotive
A099,"AmpShield Electric Fuse, PTC, 1A, 250VAC, 60VDC, 10000A (IR), Blade",PTC,1A,250V,60V,10000A,Blade,Industrial
A100,"AmpShield Electric Fuse, Fast Blow, 30A, 300VAC, 250VDC, 100A (IR), Panel Mount",Fast Blow,30A,300V,250V,100A,Panel Mount,Power Supply
A101,"Indicators PN Electric Fuse, PTC, 7A, 400VAC, 150VDC, 100A (IR), Cartridge",PTC,7A,400V,150V,100A,Cartridge,Industrial
A102,"CircuitSafe Electric Fuse, Time Lag Blow, 10A, 63VAC, 125VDC, 1500A (IR), Panel Mount",Time Lag Blow,10A,63V,125V,1500A,Panel Mount,Telecom
A103,"CircuitSafe Electric Fuse, Slow Blow, 10A, 125VAC, 48VDC, 200A (IR), Through Hole",Slow Blow,10A,125V,48V,200A,Through Hole,Consumer Electronics
A104,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 300VAC, 250VDC, 100A (IR), Panel Mount",Time Lag Blow,3A,300V,250V,100A,Panel Mount,Automotive
A105,"Voltguard Electric Fuse, Fast Blow, 1A, 63VAC, 250VDC, 200A (IR), Blade",Fast Blow,1A,63V,250V,200A,Blade,Power Supply
A106,"Indicators PN Electric Fuse, Resettable, 10A, 400VAC, 250VDC, 200A (IR), Blade",Resettable,10A,400V,250V,200A,Blade,Automotive
A107,"CircuitSafe Electric Fuse, Time Lag Blow, 2A, 250VAC, 250VDC, 50A (IR), Cartridge",Time Lag Blow,2A,250V,250V,50A,Cartridge,Power Supply
A108,"CircuitSafe Electric Fuse, PTC, 15A, 300VAC, 60VDC, 200A (IR), Panel Mount",PTC,15A,300V,60V,200A,Panel Mount,Consumer Electronics
A109,"Voltguard Electric Fuse, Resettable, 10A, 125VAC, 60VDC, 100A (IR), Through Hole",Resettable,10A,125V,60V,100A,Through Hole,Automotive
A110,"Voltguard Electric Fuse, Time Lag Blow, 1A, 400VAC, 150VDC, 10000A (IR), Through Hole",Time Lag Blow,1A,400V,150V,10000A,Through Hole,Industrial
A111,"CircuitSafe Electric Fuse, Resettable, 10A, 125VAC, 250VDC, 1500A (IR), Panel Mount",Resettable,10A,125V,250V,1500A,Panel Mount,Power Supply
A112,"Indicators PN Electric Fuse, Slow Blow, 2A, 125VAC, 48VDC, 100A (IR), Through Hole",Slow Blow,2A,125V,48V,100A,Through Hole,Consumer Electronics
A113,"CircuitSafe Electric Fuse, Resettable, 15A, 63VAC, 60VDC, 35A (IR), Surface Mount",Resettable,15A,63V,60V,35A,Surface Mount,Power Supply
A114,"CircuitSafe Electric Fuse, Resettable, 1.5A, 400VAC, 125VDC, 35A (IR), Surface Mount",Resettable,1.5A,400V,125V,35A,Surface Mount,Power Supply
A115,"AmpShield Electric Fuse, PTC, 10A, 250VAC, 60VDC, 50A (IR), Surface Mount",PTC,10A,250V,60V,50A,Surface Mount,Consumer Electronics
A116,"Voltguard Electric Fuse, Slow Blow, 1A, 250VAC, 125VDC, 35A (IR), Panel Mount",Slow Blow,1A,250V,125V,35A,Panel Mount,Automotive
A117,"AmpShield Electric Fuse, Fast Blow, 20A, 125VAC, 24VDC, 50A (IR), Surface Mount",Fast Blow,20A,125V,24V,50A,Surface Mount,Power Supply
A118,"AmpShield Electric Fuse, HRC, 20A, 300VAC, 48VDC, 1500A (IR), Blade",HRC,20A,300V,48V,1500A,Blade,Telecom
A119,"ProtecTech Electric Fuse, Time Lag Blow, 20A, 250VAC, 60VDC, 1500A (IR), Panel Mount",Time Lag Blow,20A,250V,60V,1500A,Panel Mount,Automotive
A120,"Voltguard Electric Fuse, Resettable, 1A, 63VAC, 250VDC, 50A (IR), Cartridge",Resettable,1A,63V,250V,50A,Cartridge,Automotive
A121,"AmpShield Electric Fuse, Fast Blow, 1.5A, 300VAC, 24VDC, 50A (IR), Surface Mount",Fast Blow,1.5A,300V,24V,50A,Surface Mount,Telecom
A122,"CircuitSafe Electric Fuse, Resettable, 20A, 250VAC, 60VDC, 35A (IR), Through Hole",Resettable,20A,250V,60V,35A,Through Hole,Consumer Electronics
A123,"Voltguard Electric Fuse, Resettable, 10A, 32VAC, 250VDC, 50A (IR), Cartridge",Resettable,10A,32V,250V,50A,Cartridge,Power Supply
A124,"Voltguard Electric Fuse, PTC, 1A, 300VAC, 48VDC, 10000A (IR), Through Hole",PTC,1A,300V,48V,10000A,Through Hole,Consumer Electronics
A125,"AmpShield Electric Fuse, Slow Blow, 0.5A, 63VAC, 60VDC, 1500A (IR), Panel Mount",Slow Blow,0.5A,63V,60V,1500A,Panel Mount,Consumer Electronics
A126,"ProtecTech Electric Fuse, Slow Blow, 10A, 400VAC, 60VDC, 10000A (IR), Blade",Slow Blow,10A,400V,60V,10000A,Blade,Consumer Electronics
A127,"CircuitSafe Electric Fuse, HRC, 10A, 250VAC, 24VDC, 1500A (IR), Surface Mount",HRC,10A,250V,24V,1500A,Surface Mount,Telecom
A128,"Indicators PN Electric Fuse, HRC, 3A, 32VAC, 24VDC, 50A (IR), Panel Mount",HRC,3A,32V,24V,50A,Panel Mount,Power Supply
A129,"AmpShield Electric Fuse, Resettable, 3A, 300VAC, 24VDC, 50A (IR), Blade",Resettable,3A,300V,24V,50A,Blade,Power Supply
A130,"AmpShield Electric Fuse, Time Lag Blow, 1.5A, 300VAC, 125VDC, 10000A (IR), Blade",Time Lag Blow,1.5A,300V,125V,10000A,Blade,Automotive
A131,"CircuitSafe Electric Fuse, Time Lag Blow, 7A, 125VAC, 60VDC, 10000A (IR), Surface Mount",Time Lag Blow,7A,125V,60V,10000A,Surface Mount,Industrial
A132,"Indicators PN Electric Fuse, PTC, 30A, 250VAC, 60VDC, 10000A (IR), Blade",PTC,30A,250V,60V,10000A,Blade,Power Supply
A133,"ProtecTech Electric Fuse, PTC, 1A, 125VAC, 60VDC, 100A (IR), Surface Mount",PTC,1A,125V,60V,100A,Surface Mount,Telecom
A134,"ProtecTech Electric Fuse, Slow Blow, 25A, 300VAC, 125VDC, 200A (IR), Surface Mount",Slow Blow,25A,300V,125V,200A,Surface Mount,Industrial
A135,"CircuitSafe Electric Fuse, Time Lag Blow, 20A, 250VAC, 250VDC, 200A (IR), Surface Mount",Time Lag Blow,20A,250V,250V,200A,Surface Mount,Industrial
A136,"Indicators PN Electric Fuse, HRC, 1.5A, 125VAC, 125VDC, 10000A (IR), Blade",HRC,1.5A,125V,125V,10000A,Blade,Automotive
A137,"Indicators PN Electric Fuse, Resettable, 20A, 63VAC, 250VDC, 50A (IR), Cartridge",Resettable,20A,63V,250V,50A,Cartridge,Power Supply
A138,"Voltguard Electric Fuse, HRC, 7A, 32VAC, 48VDC, 35A (IR), Blade",HRC,7A,32V,48V,35A,Blade,Automotive
A139,"AmpShield Electric Fuse, PTC, 30A, 125VAC, 150VDC, 10000A (IR), Cartridge",PTC,30A,125V,150V,10000A,Cartridge,Telecom
A140,"ProtecTech Electric Fuse, PTC, 2A, 250VAC, 150VDC, 50A (IR), Blade",PTC,2A,250V,150V,50A,Blade,Industrial
A141,"ProtecTech Electric Fuse, HRC, 30A, 63VAC, 24VDC, 100A (IR), Blade",HRC,30A,63V,24V,100A,Blade,Consumer Electronics
A142,"AmpShield Electric Fuse, Time Lag Blow, 0.5A, 125VAC, 250VDC, 100A (IR), Panel Mount",Time Lag Blow,0.5A,125V,250V,100A,Panel Mount,Power Supply
A143,"ProtecTech Electric Fuse, Fast Blow, 10A, 300VAC, 125VDC, 100A (IR), Cartridge",Fast Blow,10A,300V,125V,100A,Cartridge,Power Supply
A144,"AmpShield Electric Fuse, PTC, 10A, 125VAC, 48VDC, 10000A (IR), Through Hole",PTC,10A,125V,48V,10000A,Through Hole,Power Supply
A145,"AmpShield Electric Fuse, Fast Blow, 7A, 32VAC, 60VDC, 10000A (IR), Blade",Fast Blow,7A,32V,60V,10000A,Blade,Telecom
A146,"ProtecTech Electric Fuse, Resettable, 25A, 63VAC, 125VDC, 35A (IR), Through Hole",Resettable,25A,63V,125V,35A,Through Hole,Power Supply
A147,"Voltguard Electric Fuse, Time Lag Blow, 1A, 250VAC, 24VDC, 1500A (IR), Blade",Time Lag Blow,1A,250V,24V,1500A,Blade,Automotive
A148,"ProtecTech Electric Fuse, PTC, 25A, 63VAC, 24VDC, 200A (IR), Cartridge",PTC,25A,63V,24V,200A,Cartridge,Consumer Electronics
A149,"CircuitSafe Electric Fuse, Resettable, 7A, 400VAC, 24VDC, 100A (IR), Panel Mount",Resettable,7A,400V,24V,100A,Panel Mount,Telecom
A150,"Voltguard Electric Fuse, Resettable, 30A, 250VAC, 150VDC, 35A (IR), Panel Mount",Resettable,30A,250V,150V,35A,Panel Mount,Automotive
A151,"Indicators PN Electric Fuse, Resettable, 25A, 125VAC, 48VDC, 10000A (IR), Surface Mount",Resettable,25A,125V,48V,10000A,Surface Mount,Telecom
A152,"Indicators PN Electric Fuse, Resettable, 30A, 32VAC, 125VDC, 50A (IR), Cartridge",Resettable,30A,32V,125V,50A,Cartridge,Automotive
A153,"Voltguard Electric Fuse, Time Lag Blow, 0.5A, 125VAC, 60VDC, 100A (IR), Blade",Time Lag Blow,0.5A,125V,60V,100A,Blade,Industrial
A154,"Indicators PN Electric Fuse, HRC, 7A, 300VAC, 250VDC, 50A (IR), Through Hole",HRC,7A,300V,250V,50A,Through Hole,Industrial
A155,"Voltguard Electric Fuse, HRC, 7A, 300VAC, 250VDC, 50A (IR), Blade",HRC,7A,300V,250V,50A,Blade,Power Supply
A156,"AmpShield Electric Fuse, Fast Blow, 10A, 400VAC, 60VDC, 200A (IR), Cartridge",Fast Blow,10A,400V,60V,200A,Cartridge,Automotive
A157,"ProtecTech Electric Fuse, Time Lag Blow, 25A, 300VAC, 48VDC, 35A (IR), Blade",Time Lag Blow,25A,300V,48V,35A,Blade,Consumer Electronics
A158,"Voltguard Electric Fuse, Time Lag Blow, 25A, 250VAC, 250VDC, 100A (IR), Blade",Time Lag Blow,25A,250V,250V,100A,Blade,Consumer Electronics
A159,"ProtecTech Electric Fuse, PTC, 10A, 32VAC, 48VDC, 200A (IR), Panel Mount",PTC,10A,32V,48V,200A,Panel Mount,Consumer Electronics
A160,"Indicators PN Electric Fuse, Time Lag Blow, 30A, 125VAC, 24VDC, 10000A (IR), Blade",Time Lag Blow,30A,125V,24V,10000A,Blade,Consumer Electronics
A161,"Voltguard Electric Fuse, HRC, 25A, 400VAC, 24VDC, 1500A (IR), Blade",HRC,25A,400V,24V,1500A,Blade,Consumer Electronics
A162,"Voltguard Electric Fuse, HRC, 5A, 63VAC, 250VDC, 50A (IR), Panel Mount",HRC,5A,63V,250V,50A,Panel Mount,Consumer Electronics
A163,"Indicators PN Electric Fuse, Resettable, 1A, 400VAC, 250VDC, 35A (IR), Cartridge",Resettable,1A,400V,250V,35A,Cartridge,Telecom
A164,"AmpShield Electric Fuse, HRC, 5A, 400VAC, 48VDC, 35A (IR), Cartridge",HRC,5A,400V,48V,35A,Cartridge,Consumer Electronics
A165,"CircuitSafe Electric Fuse, Fast Blow, 2A, 63VAC, 150VDC, 100A (IR), Panel Mount",Fast Blow,2A,63V,150V,100A,Panel Mount,Power Supply
